hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,234,2016,September,39,23,1,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,159.3,0,2,Check-Out,2016-09-26
City Hotel,0,48,2016,August,35,22,1,3,2,1.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,122.22,0,0,Check-Out,2016-08-26
City Hotel,0,28,2017,July,30,26,0,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,0,Check-Out,2017-07-29
Resort Hotel,0,169,2016,March,14,31,1,3,2,0.0,0,BB,NLD,Groups,Direct,0,0,0,A,A,0,Refundable,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-04-04
City Hotel,1,62,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,135.0,0,0,Canceled,2017-02-03
City Hotel,0,31,2017,May,20,14,2,3,1,0.0,0,BB,DEU,Groups,Corporate,0,0,0,A,A,0,No Deposit,459.0,,0,Transient-Party,130.0,0,0,Check-Out,2017-05-19
City Hotel,1,53,2017,March,9,2,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,106.2,0,0,Canceled,2017-01-08
City Hotel,1,111,2016,October,42,10,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,A,0,No Deposit,234.0,,0,Transient-Party,120.0,0,0,Canceled,2016-10-06
City Hotel,1,359,2015,October,42,11,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2015-01-30
Resort Hotel,0,137,2015,September,38,13,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,66.15,0,1,Check-Out,2015-09-20
Resort Hotel,0,0,2017,April,13,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,87.0,0,0,Check-Out,2017-04-02
Resort Hotel,0,198,2017,July,29,20,2,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,123.5,0,0,Check-Out,2017-07-30
City Hotel,0,0,2016,May,21,17,0,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,1,0,0,A,A,0,No Deposit,6.0,,0,Transient,0.0,0,0,Check-Out,2016-05-17
City Hotel,0,7,2016,July,28,4,1,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,160.33,0,2,Check-Out,2016-07-07
Resort Hotel,0,0,2016,September,40,25,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,80.0,0,0,Check-Out,2016-09-26
City Hotel,0,273,2015,July,29,17,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Check-Out,2015-07-19
Resort Hotel,0,254,2015,September,37,12,2,2,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient-Party,36.0,0,0,Check-Out,2015-09-16
City Hotel,1,172,2016,June,26,24,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,,0,Transient-Party,95.0,0,0,Canceled,2016-04-06
Resort Hotel,0,53,2015,September,40,27,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,85.08,0,2,Check-Out,2015-10-02
Resort Hotel,0,152,2017,March,12,23,2,5,1,0.0,0,Undefined,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,464.0,,0,Transient,47.0,0,0,Check-Out,2017-03-30
Resort Hotel,0,33,2017,January,2,14,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,69.33,0,2,Check-Out,2017-01-17
City Hotel,0,5,2017,July,27,4,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,28,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-07-07
City Hotel,0,5,2016,June,25,13,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,6,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2016-06-14
Resort Hotel,1,223,2017,May,18,4,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,177.0,,0,Transient,68.4,0,1,Canceled,2016-11-02
City Hotel,0,189,2016,July,31,30,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,90.95,0,1,Check-Out,2016-08-04
City Hotel,1,23,2016,March,13,26,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,136.0,0,0,Canceled,2016-03-25
City Hotel,0,0,2016,December,51,14,0,1,1,0.0,0,SC,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-12-15
City Hotel,0,4,2017,May,18,2,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,24,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-05-04
Resort Hotel,0,4,2015,November,48,23,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,118.0,0,Transient,35.0,0,0,Check-Out,2015-11-25
City Hotel,0,32,2016,September,38,15,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,149.4,0,2,Check-Out,2016-09-17
City Hotel,0,126,2016,May,19,4,0,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,106.03,0,2,Check-Out,2016-05-08
City Hotel,1,26,2017,May,21,22,1,0,1,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1,Canceled,2017-04-26
Resort Hotel,1,24,2017,August,35,31,0,1,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,177.5,0,1,No-Show,2017-08-31
Resort Hotel,0,0,2017,January,3,19,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,43.0,0,0,Check-Out,2017-01-20
City Hotel,0,61,2015,October,41,4,2,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,91.0,0,0,Check-Out,2015-10-06
City Hotel,0,72,2015,October,44,28,0,3,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,58,Transient-Party,85.67,0,1,Check-Out,2015-10-31
City Hotel,0,125,2015,December,52,25,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,72.25,0,1,Check-Out,2015-12-26
City Hotel,0,136,2016,May,19,6,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,1,Check-Out,2016-05-08
Resort Hotel,0,5,2016,March,10,2,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,40.0,0,1,Check-Out,2016-03-04
City Hotel,0,72,2016,April,16,11,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,79.56,0,0,Check-Out,2016-04-16
City Hotel,1,365,2015,October,42,17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015-01-30
Resort Hotel,1,26,2016,August,34,20,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,286.0,0,0,Canceled,2016-08-01
Resort Hotel,1,31,2015,November,47,19,0,3,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,31.0,0,0,Canceled,2015-11-16
Resort Hotel,0,0,2016,March,12,14,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,38.4,0,0,Check-Out,2016-03-15
Resort Hotel,1,36,2016,March,14,29,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,240.0,,0,Transient,73.0,0,1,Canceled,2016-03-29
Resort Hotel,1,78,2015,October,41,9,1,2,2,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,134.0,,0,Transient,92.0,0,0,Canceled,2015-08-14
Resort Hotel,0,5,2016,April,18,27,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,56.0,1,0,Check-Out,2016-04-28
City Hotel,0,0,2015,December,51,16,0,1,2,0.0,0,BB,PRT,Complementary,Direct,1,2,8,G,G,1,No Deposit,45.0,,0,Transient,0.0,0,1,Check-Out,2015-12-17
City Hotel,1,276,2015,July,30,20,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,133,2017,April,16,19,0,4,2,0.0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390.0,,0,Transient-Party,124.0,0,0,Check-Out,2017-04-23
City Hotel,0,107,2016,June,24,10,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,187.0,,0,Transient-Party,130.0,0,1,Check-Out,2016-06-12
City Hotel,0,1,2015,September,40,29,0,2,2,0.0,0,SC,LIE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,91.2,0,0,Check-Out,2015-10-01
City Hotel,0,48,2017,February,8,22,0,2,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,65.0,0,1,Check-Out,2017-02-24
City Hotel,1,454,2016,October,41,6,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,0,4,2016,October,41,3,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,40.0,0,Transient,67.0,1,1,Check-Out,2016-10-04
City Hotel,1,183,2016,August,33,9,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient-Party,112.0,0,1,No-Show,2016-08-09
City Hotel,1,75,2015,September,38,19,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-09-09
City Hotel,0,54,2016,May,21,18,0,2,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,143.1,0,2,Check-Out,2016-05-20
Resort Hotel,0,5,2016,May,21,18,0,1,1,0.0,0,BB,PRI,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,154.0,0,Transient,39.0,0,0,Check-Out,2016-05-19
Resort Hotel,0,4,2016,November,47,13,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Transient,36.12,0,0,Check-Out,2016-11-20
City Hotel,1,326,2015,September,37,8,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2015-05-28
City Hotel,1,119,2016,April,16,15,0,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,0,Canceled,2016-03-16
City Hotel,1,267,2016,September,40,30,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,0,Transient,95.0,0,0,Canceled,2016-02-09
City Hotel,1,104,2016,April,15,5,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,96.0,0,0,Canceled,2016-01-19
Resort Hotel,1,22,2016,December,50,8,0,3,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,80.0,0,0,Canceled,2016-12-03
City Hotel,1,538,2016,December,53,29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015-10-21
City Hotel,0,3,2017,July,28,13,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,25,D,D,0,No Deposit,,219.0,0,Transient,104.0,0,2,Check-Out,2017-07-14
Resort Hotel,0,115,2016,April,15,9,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient,41.04,0,0,Check-Out,2016-04-16
Resort Hotel,0,1,2016,December,50,6,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,D,0,No Deposit,,154.0,0,Transient,27.0,0,0,Check-Out,2016-12-07
Resort Hotel,0,42,2016,June,23,4,1,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,117.0,1,0,Check-Out,2016-06-06
Resort Hotel,0,211,2016,May,20,14,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,D,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0,Check-Out,2016-05-16
Resort Hotel,1,148,2015,October,43,24,0,1,1,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,39.0,0,0,Canceled,2015-06-26
Resort Hotel,0,123,2016,February,9,27,1,1,2,0.0,0,FB,ESP,Groups,Direct,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,64.0,0,0,Check-Out,2016-02-29
Resort Hotel,1,247,2016,October,43,16,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,242.0,,0,Transient,120.0,0,0,Canceled,2016-02-16
Resort Hotel,0,44,2017,February,7,15,0,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,85.0,1,0,Check-Out,2017-02-17
City Hotel,0,1,2016,April,16,10,2,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,8,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2016-04-13
City Hotel,1,44,2017,June,24,11,2,1,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,1,Canceled,2017-04-28
City Hotel,0,67,2017,March,13,31,2,2,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.2,0,2,Check-Out,2017-04-04
City Hotel,1,12,2016,February,6,6,0,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,0,Canceled,2016-02-02
City Hotel,1,63,2015,November,46,10,0,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,89.53,0,1,Canceled,2015-10-12
Resort Hotel,1,157,2016,October,40,1,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,Non Refund,96.0,,0,Transient,52.0,0,0,Canceled,2016-05-09
City Hotel,1,90,2016,May,21,21,1,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,0,0,Canceled,2016-03-21
Resort Hotel,0,3,2016,January,4,21,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,40.0,0,2,Check-Out,2016-01-22
City Hotel,0,16,2017,February,6,10,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2017-02-14
City Hotel,0,122,2017,March,13,29,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.1,0,1,Check-Out,2017-04-02
City Hotel,0,15,2016,February,6,5,1,2,2,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,F,2,No Deposit,,183.0,0,Transient-Party,97.0,0,0,Check-Out,2016-02-08
City Hotel,0,23,2016,March,11,10,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,82.33,0,0,Check-Out,2016-03-13
Resort Hotel,0,21,2017,June,22,1,2,5,2,0.0,0,HB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,479.0,,0,Transient,93.0,0,0,Check-Out,2017-06-08
City Hotel,1,6,2016,July,29,11,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,7.0,,0,Transient,127.82,0,1,No-Show,2016-07-11
Resort Hotel,1,72,2017,May,20,16,2,5,2,2.0,0,HB,IRL,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,173.0,0,0,Canceled,2017-03-05
Resort Hotel,0,12,2015,November,47,17,0,4,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,,0,Transient,65.9,0,0,Check-Out,2015-11-21
City Hotel,1,166,2016,July,28,7,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,0,Canceled,2016-03-14
Resort Hotel,1,108,2016,April,18,29,2,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,84.0,0,0,Canceled,2016-02-12
Resort Hotel,0,29,2015,October,43,18,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,40.0,,0,Transient,35.6,0,0,Check-Out,2015-10-25
City Hotel,0,73,2016,October,44,28,0,1,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,1,A,D,1,No Deposit,21.0,,0,Transient-Party,62.5,0,0,Check-Out,2016-10-29
City Hotel,1,615,2017,March,11,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,74,2017,February,6,10,1,2,2,2.0,0,BB,GIB,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9.0,,0,Transient,168.0,0,0,Canceled,2017-01-29
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,,0,Transient,120.0,0,0,Canceled,2016-04-27
Resort Hotel,0,13,2015,October,41,7,0,2,2,0.0,0,FB,PRT,Complementary,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,0.0,0,2,Check-Out,2015-10-09
City Hotel,1,49,2016,July,29,11,1,0,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.15,0,0,Canceled,2016-06-20
City Hotel,1,15,2017,May,20,15,1,1,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.0,0,1,Canceled,2017-05-06
City Hotel,0,99,2016,February,8,19,0,1,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,D,0,No Deposit,,67.0,0,Transient-Party,81.0,0,0,Check-Out,2016-02-20
City Hotel,0,0,2016,March,13,21,1,1,1,0.0,0,BB,PRT,Corporate,Direct,1,0,1,A,A,1,No Deposit,,186.0,0,Transient,79.0,0,0,Check-Out,2016-03-23
City Hotel,0,1,2016,February,6,1,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,66.22,0,1,Check-Out,2016-02-02
Resort Hotel,0,2,2016,January,3,11,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient-Party,29.0,0,1,Check-Out,2016-01-15
City Hotel,0,38,2016,March,10,3,0,3,2,0.0,0,BB,POL,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,87.71,0,1,Check-Out,2016-03-06
City Hotel,0,7,2015,August,34,18,0,3,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Contract,162.0,1,0,Check-Out,2015-08-21
Resort Hotel,0,128,2016,December,49,3,0,1,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,64.0,0,1,Check-Out,2016-12-04
City Hotel,0,42,2016,December,53,31,2,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,102.0,0,1,Check-Out,2017-01-04
Resort Hotel,1,253,2015,September,37,12,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,96.0,,0,Transient,58.95,0,0,Canceled,2015-06-17
Resort Hotel,1,172,2016,December,52,20,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,55.8,0,1,Canceled,2016-09-10
Resort Hotel,0,192,2016,April,16,16,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,40.0,,0,Transient,37.4,0,0,Check-Out,2016-04-23
City Hotel,0,24,2017,February,6,5,2,5,1,0.0,0,BB,MAR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,407.0,0,Transient-Party,75.0,0,0,Check-Out,2017-02-12
Resort Hotel,0,89,2016,October,44,29,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,43.9,0,2,Check-Out,2016-11-02
City Hotel,0,48,2016,February,9,23,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.3,1,1,Check-Out,2016-02-25
City Hotel,0,0,2015,October,42,14,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,146.0,0,2,Check-Out,2015-10-16
City Hotel,0,132,2015,July,30,23,0,1,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,65.0,0,0,Check-Out,2015-07-24
City Hotel,0,107,2016,June,27,28,2,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.25,0,1,Check-Out,2016-07-06
City Hotel,0,175,2016,October,44,27,2,3,2,0.0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,83.0,,0,Transient,78.88,0,0,Check-Out,2016-11-01
Resort Hotel,0,19,2016,December,51,17,0,1,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,G,G,1,No Deposit,250.0,,0,Transient,119.0,1,0,Check-Out,2016-12-18
City Hotel,0,8,2017,July,30,27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2017-07-28
City Hotel,1,179,2016,July,27,1,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,2016-05-10
City Hotel,0,29,2016,December,51,17,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,144.0,0,0,Check-Out,2016-12-18
Resort Hotel,1,3,2016,February,6,1,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,286.0,0,Transient-Party,39.0,0,0,Canceled,2016-02-01
City Hotel,1,41,2016,May,20,9,1,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,0,0,Canceled,2016-05-06
City Hotel,0,120,2017,March,11,17,2,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,2,Check-Out,2017-03-22
Resort Hotel,0,0,2016,March,10,1,0,1,2,0.0,0,BB,PRT,Direct,TA/TO,1,0,1,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,0,Check-Out,2016-03-02
City Hotel,1,65,2015,September,36,5,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-07-25
City Hotel,0,6,2015,December,53,27,1,0,2,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,40.0,0,Transient,75.0,0,0,Check-Out,2015-12-28
City Hotel,0,2,2016,March,11,7,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,86.0,,0,Transient,87.0,0,1,Check-Out,2016-03-10
City Hotel,0,31,2017,May,20,14,2,3,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,459.0,,0,Transient-Party,130.0,0,0,Check-Out,2017-05-19
City Hotel,1,365,2016,July,28,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,0,0,2016,March,14,29,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,54.0,1,0,Check-Out,2016-03-31
Resort Hotel,1,83,2016,August,34,15,1,4,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,216.5,0,0,Canceled,2016-08-03
Resort Hotel,0,386,2016,October,43,20,1,3,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,2,No Deposit,,,0,Transient-Party,49.0,0,0,Check-Out,2016-10-24
City Hotel,0,160,2015,December,53,30,0,3,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,111,Transient-Party,70.67,0,0,Check-Out,2016-01-02
Resort Hotel,0,0,2015,December,51,16,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,31.0,0,Transient,35.0,1,0,Check-Out,2015-12-17
